---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
At. num | Sp. Name      | Sp. Num. | El. Name   | Isoel. Seq. | Ground Shells (a) | Ground Level | Ionized Level     |      Ionization Energy (b) (eV)       | References
--------|---------------|----------|------------|-------------|-------------------|--------------|-------------------|---------------------------------------|-------------------
      1 | H I           |        1 | Hydrogen   | H           | 1s                | 2S<1/2>      |                   |           (13.598433770784(12))       |              HDEL
      2 | He I          |        1 | Helium     | He          | 1s2               | 1S0          | 1s 2S<1/2>        |            24.587387512(25)           |            L17714
      2 | He II         |        2 | Helium     | H           | 1s                | 2S<1/2>      |                   |           (54.417762170(25))          |          L7188c95
      3 | Li I          |        1 | Lithium    | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |             5.391714668(22)           |            L12261
      3 | Li II         |        2 | Lithium    | He          | 1s2               | 1S0          | 1s 2S<1/2>        |           [75.6400924(12)]            |            L10054
      3 | Li III        |        3 | Lithium    | H           | 1s                | 2S<1/2>      |                   |          (122.45435200(25))           |          L3620c96
      4 | Be I          |        1 | Beryllium  | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |             9.3226990(70)             |             L5964
      4 | Be II         |        2 | Beryllium  | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |            18.211153(40)              |            L12158
      4 | Be III        |        3 | Beryllium  | He          | 1s2               | 1S0          | 1s 2S<1/2>        |          [153.8961950(40)]            |            L10054
      5 | B I           |        1 | Boron      | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |             8.2980189(30)             |            L12312
      5 | B II          |        2 | Boron      | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |            25.154830(50)              |            L12120
      5 | B III         |        3 | Boron      | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |            37.930580(70)              |            L12547
      5 | B IV          |        4 | Boron      | He          | 1s2               | 1S0          | 1s 2S<1/2>        |           259.3715(25)                |            L12548
      5 | B V           |        5 | Boron      | H           | 1s                | 2S<1/2>      |                   |          (340.2260021(25))            |            L12548
      6 | C I           |        1 | Carbon     | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |            11.26030                   |             L7288
      6 | C II          |        2 | Carbon     | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |           [24.38450(90)]              |            L11770
      6 | C III         |        3 | Carbon     | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |            47.88778(12)               |              L876
      6 | C IV          |        4 | Carbon     | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |            64.49358(19)               |            L11667
      6 | C V           |        5 | Carbon     | He          | 1s2               | 1S0          | 1s 2S<1/2>        |          [392.090490(25)]             |            L10054
      6 | C VI          |        6 | Carbon     | H           | 1s                | 2S<1/2>      |                   |          (489.9931680(60))            |             L7188
      7 | N I           |        1 | Nitrogen   | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |            14.534130(40)              |             L1411
      7 | N II          |        2 | Nitrogen   | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |           [29.601250(90)]             |            L11770
      7 | N III         |        3 | Nitrogen   | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |           [47.4453(25)]               |            L11770
      7 | N IV          |        4 | Nitrogen   | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |            77.47350(40)               |        L7288,L876
      7 | N V           |        5 | Nitrogen   | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |            97.89013(40)               |             L4829
      7 | N VI          |        6 | Nitrogen   | He          | 1s2               | 1S0          | 1s 2S<1/2>        |          [552.067300(40)]             |            L10054
      7 | N VII         |        7 | Nitrogen   | H           | 1s                | 2S<1/2>      |                   |          (667.046080(12))             |             L7188
      8 | O I           |        1 | Oxygen     | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |            13.6180540(70)             |         L74,L3760
      8 | O II          |        2 | Oxygen     | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |            35.121110(60)              |     L11267,L10621
      8 | O III         |        3 | Oxygen     | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |           [54.93554(12)]              |            L11770
      8 | O IV          |        4 | Oxygen     | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |            77.41350(25)               |              L648
      8 | O V           |        5 | Oxygen     | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |           113.89900(50)               |             L7288
      8 | O VI          |        6 | Oxygen     | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          [138.1189(21)]               |             L4713
      8 | O VII         |        7 | Oxygen     | He          | 1s2               | 1S0          | 1s 2S<1/2>        |          [739.326780(60)]             |            L10054
      8 | O VIII        |        8 | Oxygen     | H           | 1s                | 2S<1/2>      |                   |          (871.409830(25))             |             L7188
      9 | F I           |        1 | Fluorine   | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |            17.422820(50)              |        L7481,L526
      9 | F II          |        2 | Fluorine   | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |            34.97081(12)               |              L369
      9 | F III         |        3 | Fluorine   | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |           [62.70800(25)]              |            L11770
      9 | F IV          |        4 | Fluorine   | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |           [87.174(17)]                |            L11770
      9 | F V           |        5 | Fluorine   | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [114.2490(60)]               |            L11770
      9 | F VI          |        6 | Fluorine   | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |           157.16310(25)               |             L6491
      9 | F VII         |        7 | Fluorine   | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          [185.18680(60)]              |             L6335
      9 | F VIII        |        8 | Fluorine   | He          | 1s2               | 1S0          | 1s 2S<1/2>        |          [953.89799(10)]              |            L10054
      9 | F IX          |        9 | Fluorine   | H           | 1s                | 2S<1/2>      |                   |         (1103.117400(50))             |             L7188
     10 | Ne I          |        1 | Neon       | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |            21.5645390(70)             |       L8826,L1407
     10 | Ne II         |        2 | Neon       | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |            40.962960(40)              |             L9088
     10 | Ne III        |        3 | Neon       | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |            63.42331(30)               |             L9091
     10 | Ne IV         |        4 | Neon       | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2s2.2p2 3P<0>     |           [97.1900(25)]               |            L11782
     10 | Ne V          |        5 | Neon       | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |           126.247(12)                 |            L11744
     10 | Ne VI         |        6 | Neon       | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |           157.9335(50)                |             L9340
     10 | Ne VII        |        7 | Neon       | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |           207.271(12)                 |             L9089
     10 | Ne VIII       |        8 | Neon       | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          [239.0969(19)]               |             L9090
     10 | Ne IX         |        9 | Neon       | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         [1195.80780(15)]              |            L10054
     10 | Ne X          |       10 | Neon       | H           | 1s                | 2S<1/2>      |                   |         (1362.199080(90))             |             L7188
     11 | Na I          |        1 | Sodium     | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |             5.13907660(25)            |      L10921,L9648
     11 | Na II         |        2 | Sodium     | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |            47.28636(25)               |              L914
     11 | Na III        |        3 | Sodium     | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |           [71.6200(12)]               |       L5793,L2720
     11 | Na IV         |        4 | Sodium     | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |           [98.936(12)]                |            L11770
     11 | Na V          |        5 | Sodium     | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |           138.404(12)                 |             L7482
     11 | Na VI         |        6 | Sodium     | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [172.228(50)]                |            L11770
     11 | Na VII        |        7 | Sodium     | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [208.504(12)]                |            L11770
     11 | Na VIII       |        8 | Sodium     | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |          [264.192(22)]                |            L11770
     11 | Na IX         |        9 | Sodium     | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          (299.8560(70))               |         L16264c99
     11 | Na X          |       10 | Sodium     | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (1465.134410(25))             |            L13237
     11 | Na XI         |       11 | Sodium     | H           | 1s                | 2S<1/2>      |                   |         (1648.70210(12))              |             L7188
     12 | Mg I          |        1 | Magnesium  | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |             7.6462350(40)             |      L10635,L6969
     12 | Mg II         |        2 | Magnesium  | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |            15.0352670(60)             |             L4995
     12 | Mg III        |        3 | Magnesium  | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |            80.14360(60)               |             L4995
     12 | Mg IV         |        4 | Magnesium  | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |          [109.2650(12)]               |             L4995
     12 | Mg V          |        5 | Magnesium  | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [141.334(30)]                |            L11770
     12 | Mg VI         |        6 | Magnesium  | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          [186.757(60)]                |            L10635
     12 | Mg VII        |        7 | Magnesium  | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [225.015(60)]                |            L11770
     12 | Mg VIII       |        8 | Magnesium  | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [265.924(19)]                |            L11770
     12 | Mg IX         |        9 | Magnesium  | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |          [327.985(40)]                |            L11770
     12 | Mg X          |       10 | Magnesium  | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          (367.4900(70))               |         L16264c99
     12 | Mg XI         |       11 | Magnesium  | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (1761.80478(20))              |            L12128
     12 | Mg XII        |       12 | Magnesium  | H           | 1s                | 2S<1/2>      |                   |         (1962.66350(12))              |             L7188
     13 | Al I          |        1 | Aluminum   | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |             5.9857683(30)             |      L7215,L10321
     13 | Al II         |        2 | Aluminum   | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |            18.828550(50)              |             L7215
     13 | Al III        |        3 | Aluminum   | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |            28.447640(25)              |             L7215
     13 | Al IV         |        4 | Aluminum   | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |           119.9920(19)                |       L4714,L2829
     13 | Al V          |        5 | Aluminum   | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |          [153.8252(25)]               |       L4714,L3565
     13 | Al VI         |        6 | Aluminum   | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [190.489(50)]                |             L7215
     13 | Al VII        |        7 | Aluminum   | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          [241.757(90)]                |             L7215
     13 | Al VIII       |        8 | Aluminum   | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [284.638(70)]                |            L11770
     13 | Al IX         |        9 | Aluminum   | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [330.212(40)]                |            L11770
     13 | Al X          |       10 | Aluminum   | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |          [398.646(60)]                |            L11770
     13 | Al XI         |       11 | Aluminum   | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          (442.0049(70))               |         L16264c99
     13 | Al XII        |       12 | Aluminum   | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (2085.97689(20))              |            L12128
     13 | Al XIII       |       13 | Aluminum   | H           | 1s                | 2S<1/2>      |                   |         (2304.13990(25))              |             L7188
     14 | Si I          |        1 | Silicon    | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |             8.151683(30)              |             L5815
     14 | Si II         |        2 | Silicon    | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |            16.345845(40)              |             L5815
     14 | Si III        |        3 | Silicon    | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |            33.493000(90)              |             L5815
     14 | Si IV         |        4 | Silicon    | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |            45.141790(70)              |             L5815
     14 | Si V          |        5 | Silicon    | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |           166.7674(30)                |             L3934
     14 | Si VI         |        6 | Silicon    | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |          [205.267(19)]                |             L5815
     14 | Si VII        |        7 | Silicon    | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [246.32(10)]                 |            L11770
     14 | Si VIII       |        8 | Silicon    | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          [303.66(17)]                 |            L11770
     14 | Si IX         |        9 | Silicon    | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [351.098(80)]                |            L11770
     14 | Si X          |       10 | Silicon    | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [401.380(40)]                |            L11770
     14 | Si XI         |       11 | Silicon    | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |          [476.180(80)]                |            L11770
     14 | Si XII        |       12 | Silicon    | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          (523.4154(70))               |         L16264c99
     14 | Si XIII       |       13 | Silicon    | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (2437.65800(20))              |            L12128
     14 | Si XIV        |       14 | Silicon    | H           | 1s                | 2S<1/2>      |                   |         (2673.17740(25))              |             L7188
     15 | P I           |        1 | Phosphorus | P           | [Ne].3s2.3p3      | 4S*<3/2>     | 3p2 3P<0>         |            10.486690(15)              |             L5148
     15 | P II          |        2 | Phosphorus | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |           [19.769490(40)]             |            L11770
     15 | P III         |        3 | Phosphorus | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |            30.202640(90)              |             L7147
     15 | P IV          |        4 | Phosphorus | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |            51.44387(12)               |             L7147
     15 | P V           |        5 | Phosphorus | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |            65.02511(12)               |             L7147
     15 | P VI          |        6 | Phosphorus | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |          [220.4304(50)]               |            L11770
     15 | P VII         |        7 | Phosphorus | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |          [263.566(60)]                |             L7147
     15 | P VIII        |        8 | Phosphorus | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [309.60(10)]                 |             L7147
     15 | P IX          |        9 | Phosphorus | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          [372.31(21)]                 |            L11770
     15 | P X           |       10 | Phosphorus | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [424.400(90)]                |            L11770
     15 | P XI          |       11 | Phosphorus | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [479.441(50)]                |            L11770
     15 | P XII         |       12 | Phosphorus | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |          [560.62(10)]                 |            L11770
     15 | P XIII        |       13 | Phosphorus | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          (611.7405(70))               |         L16264c99
     15 | P XIV         |       14 | Phosphorus | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (2816.90862(20))              |            L12128
     15 | P XV          |       15 | Phosphorus | H           | 1s                | 2S<1/2>      |                   |         (3069.84140(40))              |             L7188
     16 | S I           |        1 | Sulfur     | S           | [Ne].3s2.3p4      | 3P<2>        | 3p3 4S*<3/2>      |            10.36000(12)               |             L7237
     16 | S II          |        2 | Sulfur     | P           | [Ne].3s2.3p3      | 4S*<3/2>     | 3p2 3P<0>         |            23.33788(25)               |       L7237,L5883
     16 | S III         |        3 | Sulfur     | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |           [34.856(40)]                |            L11770
     16 | S IV          |        4 | Sulfur     | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |           [47.222(12)]                |             L7237
     16 | S V           |        5 | Sulfur     | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |            72.59449(40)               |             L7237
     16 | S VI          |        6 | Sulfur     | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |            88.05292(40)               |             L7237
     16 | S VII         |        7 | Sulfur     | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |           280.9544(70)                |             L9896
     16 | S VIII        |        8 | Sulfur     | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |           328.7940(70)                |            L11242
     16 | S IX          |        9 | Sulfur     | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [379.84(21)]                 |            L11770
     16 | S X           |       10 | Sulfur     | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          [447.74(30)]                 |            L11770
     16 | S XI          |       11 | Sulfur     | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [504.55(12)]                 |            L11770
     16 | S XII         |       12 | Sulfur     | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [564.407(50)]                |            L11770
     16 | S XIII        |       13 | Sulfur     | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |          [651.96(12)]                 |            L11770
     16 | S XIV         |       14 | Sulfur     | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          (706.9938(70))               |         L16264c99
     16 | S XV          |       15 | Sulfur     | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (3223.78053(30))              |            L12128
     16 | S XVI         |       16 | Sulfur     | H           | 1s                | 2S<1/2>      |                   |         (3494.18770(50))              |             L7188
     17 | Cl I          |        1 | Chlorine   | Cl          | [Ne].3s2.3p5      | 2P*<3/2>     | 3p4 3P<2>         |            12.967630(40)              |              L298
     17 | Cl II         |        2 | Chlorine   | S           | [Ne].3s2.3p4      | 3P<2>        | 3p3 4S*<3/2>      |            23.81364(12)               |             L1617
     17 | Cl III        |        3 | Chlorine   | P           | [Ne].3s2.3p3      | 4S*<3/2>     | 3p2 3P<0>         |           [39.80(11)]                 |            L11770
     17 | Cl IV         |        4 | Chlorine   | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |           [53.24(12)]                 |            L11770
     17 | Cl V          |        5 | Chlorine   | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |           [67.68(10)]                 |            L11770
     17 | Cl VI         |        6 | Chlorine   | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |           [96.943(40)]                |            L11770
     17 | Cl VII        |        7 | Chlorine   | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |           114.20100(60)               |             L6356
     17 | Cl VIII       |        8 | Chlorine   | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |           348.3063(70)                |             L6972
     17 | Cl IX         |        9 | Chlorine   | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |           400.851(12)                 |             L9369
     17 | Cl X          |       10 | Chlorine   | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [456.68(40)]                 |            L11770
     17 | Cl XI         |       11 | Chlorine   | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          [529.97(40)]                 |            L11770
     17 | Cl XII        |       12 | Chlorine   | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [591.58(19)]                 |            L11770
     17 | Cl XIII       |       13 | Chlorine   | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [656.30(12)]                 |            L11770
     17 | Cl XIV        |       14 | Chlorine   | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |          [750.23(19)]                 |            L11770
     17 | Cl XV         |       15 | Chlorine   | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          (809.1977(70))               |         L16264c99
     17 | Cl XVI        |       16 | Chlorine   | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (3658.34356(30))              |            L12128
     17 | Cl XVII       |       17 | Chlorine   | H           | 1s                | 2S<1/2>      |                   |         (3946.29070(60))              |             L7188
     18 | Ar I          |        1 | Argon      | Ar          | [Ne].3s2.3p6      | 1S0          | 3p5 2P*<3/2>      |            15.75961090(50)            |             L9217
     18 | Ar II         |        2 | Argon      | Cl          | [Ne].3s2.3p5      | 2P*<3/2>     | 3p4 3P<2>         |            27.62967(12)               |             L8844
     18 | Ar III        |        3 | Argon      | S           | [Ne].3s2.3p4      | 3P<2>        | 3p3 4S*<3/2>      |           [40.735(12)]                |             L8114
     18 | Ar IV         |        4 | Argon      | P           | [Ne].3s2.3p3      | 4S*<3/2>     | 3p2 3P<0>         |           [59.58(18)]                 |            L11770
     18 | Ar V          |        5 | Argon      | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |           [74.84(17)]                 |            L11770
     18 | Ar VI         |        6 | Argon      | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |            91.290(10)                 |            L12277
     18 | Ar VII        |        7 | Argon      | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |          [124.412(60)]                |            L11770
     18 | Ar VIII       |        8 | Argon      | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |          [143.4567(12)]               |             L4344
     18 | Ar IX         |        9 | Argon      | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |          [422.598(60)]                |            L11770
     18 | Ar X          |       10 | Argon      | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |          [479.76(12)]                 |         L11242c99
     18 | Ar XI         |       11 | Argon      | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [540.43(60)]                 |            L11770
     18 | Ar XII        |       12 | Argon      | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          [618.95(40)]                 |            L11770
     18 | Ar XIII       |       13 | Argon      | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [685.47(30)]                 |            L11770
     18 | Ar XIV        |       14 | Argon      | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [755.13(22)]                 |            L11770
     18 | Ar XV         |       15 | Argon      | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |          [855.47(30)]                 |            L11770
     18 | Ar XVI        |       16 | Argon      | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          (918.3745(70))               |         L16264c99
     18 | Ar XVII       |       17 | Argon      | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (4120.66540(40))              |            L12128
     18 | Ar XVIII      |       18 | Argon      | H           | 1s                | 2S<1/2>      |                   |         (4426.22260(70))              |             L7188
     19 | K I           |        1 | Potassium  | K           | [Ar].4s           | 2S<1/2>      | 3p6 1S<0>         |             4.340663460(90)           | L5451,L5783,L7185
     19 | K II          |        2 | Potassium  | Ar          | [Ne].3s2.3p6      | 1S0          | 3p5 2P*<3/2>      |            31.62499(19)               |            L12188
     19 | K III         |        3 | Potassium  | Cl          | [Ne].3s2.3p5      | 2P*<3/2>     | 3p4 3P<2>         |           [45.8031(17)]               |            L11770
     19 | K IV          |        4 | Potassium  | S           | [Ne].3s2.3p4      | 3P<2>        | 3p3 4S*<3/2>      |           [60.917(19)]                |            L11770
     19 | K V           |        5 | Potassium  | P           | [Ne].3s2.3p3      | 4S*<3/2>     | 3p2 3P<0>         |           [82.66(16)]                 |              L241
     19 | K VI          |        6 | Potassium  | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |           [99.44(20)]                 |             L7185
     19 | K VII         |        7 | Potassium  | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |           117.56(11)                  |             L7185
     19 | K VIII        |        8 | Potassium  | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |          [154.869(50)]                |            L12392
     19 | K IX          |        9 | Potassium  | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |           175.8174(25)                |             L4344
     19 | K X           |       10 | Potassium  | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |          [503.673(70)]                |            L11770
     19 | K XI          |       11 | Potassium  | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |          [565.62(70)]                 |            L11770
     19 | K XII         |       12 | Potassium  | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [631.10(90)]                 |            L11770
     19 | K XIII        |       13 | Potassium  | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          [714.71(50)]                 |            L11770
     19 | K XIV         |       14 | Potassium  | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [786.26(30)]                 |            L11770
     19 | K XV          |       15 | Potassium  | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |           860.92(25)                  |            L11770
     19 | K XVI         |       16 | Potassium  | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |          [967.66(30)]                 |            L11770
     19 | K XVII        |       17 | Potassium  | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |         (1034.5410(70))               |         L16264c99
     19 | K XVIII       |       18 | Potassium  | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (4610.86990(12))              |             L8473
     19 | K XIX         |       19 | Potassium  | H           | 1s                | 2S<1/2>      |                   |         (4934.04810(90))              |             L7188
     20 | Ca I          |        1 | Calcium    | Ca          | [Ar].4s2          | 1S0          | 4s 2S<1/2>        |             6.11315509(25)            |             L8900
     20 | Ca II         |        2 | Calcium    | K           | [Ar].4s           | 2S<1/2>      | 3p6 1S<0>         |            11.8717200(40)             |       L7185,L7323
     20 | Ca III        |        3 | Calcium    | Ar          | [Ne].3s2.3p6      | 1S0          | 3p5 2P*<3/2>      |            50.91315(25)               |             L1405
